timestamp,lux,irradiance,nir_image_path,temperature,humidity,rgb_image_path,nir_brightness,nir_red_mean,rgb_red_mean,rgb_green_mean,rgb_blue_mean,nir_brightness_std,rgb_brightness,rgb_brightness_std
2025-04-07_14-50-00,40621.953125,338.516276041666,photos_nir\2025-04-07_14-50-00_nir.jpg,28.04951552605478,43.8970016021973,photos_rgb\2025-04-07_14-50-00_rgb.jpg,89.40418798998257,88.41821435995406,67.08728946070798,99.49038988697706,168.5567944338472,56.40547399842493,97.6758261801879,32.01403844901088
2025-04-07_14-51-00,40936.40625,341.13671875,photos_nir\2025-04-07_14-51-00_nir.jpg,28.49813076981765,46.2392614633402,photos_rgb\2025-04-07_14-51-00_rgb.jpg,89.30780742694805,88.32185149073487,68.63079380450016,99.25039942450431,169.10666377945603,56.43071246101006,98.06860734259836,31.7990525852925
2025-04-07_14-52-00,41150.234375,342.918619791666,photos_nir\2025-04-07_14-52-00_nir.jpg,28.85862516212711,47.90249485008011,photos_rgb\2025-04-07_14-52-00_rgb.jpg,89.5118089513383,88.52588605182927,68.69530771501609,99.59984387976228,168.80065570499843,56.37934723841332,98.25285282362711,31.83224506822602
2025-04-07_14-53-00,41058.59375,342.154947916666,photos_nir\2025-04-07_14-53-00_nir.jpg,28.96276798657206,48.74174105439841,photos_rgb\2025-04-07_14-53-00_rgb.jpg,89.1939390639848,88.20801542207792,68.46484829167964,99.58844539927853,168.61843540758332,56.38634628571858,98.15616865527353,31.93400391150465
2025-04-07_14-54-00,40713.59375,339.279947916666,photos_nir\2025-04-07_14-54-00_nir.jpg,29.24582284275579,44.05722133211261,photos_rgb\2025-04-07_14-54-00_rgb.jpg,89.44938059273044,88.46355185401488,67.04536489151874,99.60273782181045,168.5199558970466,56.32262357456259,97.72742996081179,31.99234174823886
2025-04-07_14-55-00,39978.671875,333.155598958333,photos_nir\2025-04-07_14-55-00_nir.jpg,29.00549324788281,48.05317769130999,photos_rgb\2025-04-07_14-55-00_rgb.jpg,89.4131486082515,88.42742442389927,68.05716831140352,99.52538523175542,168.68869202870343,56.37073922680238,98.00462034802243,31.82812097267594
2025-04-07_14-56-00,38970.625,324.755208333333,photos_nir\2025-04-07_14-56-00_nir.jpg,28.58358129243915,44.31662470435645,photos_rgb\2025-04-07_14-56-00_rgb.jpg,89.63189848451853,88.6460561351758,67.22351722269802,99.57346775083047,168.74270987426036,56.378732364350945,97.79427553721582,31.919404422400326
2025-04-07_14-57-00,37024.609375,308.538411458333,photos_nir\2025-04-07_14-57-00_nir.jpg,27.9907682917525,43.7043564507515,photos_rgb\2025-04-07_14-57-00_rgb.jpg,89.65631137155528,88.67039700962148,68.96056573108066,99.58467483195786,168.90512106820304,56.43686305081005,98.33667495523201,31.915442203105307
2025-04-07_14-58-00,34417.34375,286.811197916666,photos_nir\2025-04-07_14-58-00_nir.jpg,27.58220798046845,49.01640344853895,photos_rgb\2025-04-07_14-58-00_rgb.jpg,90.24629964166931,89.26056555867912,67.61752139455517,99.45393893387315,168.59703736504724,56.54298451076769,97.82268431109208,31.954330273901416
2025-04-07_14-59-00,33696.796875,280.806640625,photos_nir\2025-04-07_14-59-00_nir.jpg,27.77447165636683,46.0332646677348,photos_rgb\2025-04-07_14-59-00_rgb.jpg,90.25098776033418,89.26527025756256,68.91106450482715,99.51852210500364,168.76163205257967,56.552339634730046,98.26407815257448,31.875147299835596
2025-04-07_15-00-00,35159.453125,292.995442708333,photos_nir\2025-04-07_15-00-00_nir.jpg,27.72907606622415,48.44037537193866,photos_rgb\2025-04-07_15-00-00_rgb.jpg,90.1443350095027,89.1587447042287,68.15489309210527,98.66515745030105,168.72965295079413,56.65432756577642,97.53715523785425,31.629294908867973
2025-04-07_15-01-00,38113.515625,317.612630208333,photos_nir\2025-04-07_15-01-00_nir.jpg,28.00946059357595,43.90463111314565,photos_rgb\2025-04-07_15-01-00_rgb.jpg,90.30191464404498,89.31646093997466,68.51920400576145,99.12276533141285,168.79297069643414,56.663695859860475,97.9197202163137,31.616934133832736
2025-04-07_15-02-00,39103.59375,325.86328125,photos_nir\2025-04-07_15-02-00_nir.jpg,28.33524071107042,41.55092698558023,photos_rgb\2025-04-07_15-02-00_rgb.jpg,90.3584427957713,89.3730001039357,73.51792933470881,96.95866236180318,168.96119126635006,56.67150868621149,98.14640031337589,31.805730577791515
2025-04-07_15-03-00,39534.84375,329.45703125,photos_nir\2025-04-07_15-03-00_nir.jpg,28.50080109864957,43.02342259861143,photos_rgb\2025-04-07_15-03-00_rgb.jpg,90.03129305907507,89.04569904181184,68.33963377841793,99.14032970972178,168.69809281895567,56.786760463144546,97.8640307082425,31.736893612716344
2025-04-07_15-04-00,39748.671875,331.238932291666,photos_nir\2025-04-07_15-04-00_nir.jpg,28.01747158007172,45.17494468604563,photos_rgb\2025-04-07_15-04-00_rgb.jpg,90.24930127989388,89.26371505780804,68.6234948387055,98.8437072595505,168.05074978264818,56.8265670723035,97.69572587394893,31.78282476246714
2025-04-07_15-05-00,39905.0,332.541666666666,photos_nir\2025-04-07_15-05-00_nir.jpg,27.30449378194858,45.75478751812009,photos_rgb\2025-04-07_15-05-00_rgb.jpg,89.88406368783656,88.89844356291574,66.97639470115747,98.86678758888716,167.85296304045988,56.790731607290176,97.20079252309769,31.94799571189844
2025-04-07_15-06-00,39283.28125,327.360677083333,photos_nir\2025-04-07_15-06-00_nir.jpg,26.52208743419547,45.4877546349279,photos_rgb\2025-04-07_15-06-00_rgb.jpg,89.74915638858093,88.76380117595819,68.32699193203052,98.65450607611855,167.91023207982974,56.939421143538,97.4782839587875,31.862726488360376
2025-04-07_15-07-00,39042.5,325.354166666666,photos_nir\2025-04-07_15-07-00_nir.jpg,26.32715342946517,50.78072785534447,photos_rgb\2025-04-07_15-07-00_rgb.jpg,89.79156190608172,88.80646294444884,67.97453090937402,98.74708708021903,167.9304764546351,56.9339891451571,97.43196677436936,31.715977849815495
2025-04-07_15-08-00,38911.328125,324.261067708333,photos_nir\2025-04-07_15-08-00_nir.jpg,26.68230716411078,45.30083161669337,photos_rgb\2025-04-07_15-08-00_rgb.jpg,89.7868600530567,88.80188816518847,67.87787407219973,99.11591923595972,168.79643826884148,56.9377548120913,97.72410050412644,31.60483660616502
2025-04-07_15-09-00,38799.921875,323.332682291666,photos_nir\2025-04-07_15-09-00_nir.jpg,26.68764782177462,45.67849240863661,photos_rgb\2025-04-07_15-09-00_rgb.jpg,89.98272724798068,88.99822876247228,67.76467862750441,98.95880299166926,168.87334682860998,56.89401884962891,97.60884119043912,31.312058294887436
2025-04-07_15-10-00,38519.609375,320.996744791666,photos_nir\2025-04-07_15-10-00_nir.jpg,26.76241702906843,46.07904173342489,photos_rgb\2025-04-07_15-10-00_rgb.jpg,89.86134136442826,88.87679474679284,68.22612236258175,98.81882023383162,168.58815781363543,56.969959144346056,97.6317312558393,31.375683715433176
2025-04-07_15-11-00,38260.859375,318.840494791666,photos_nir\2025-04-07_15-11-00_nir.jpg,26.80514229037918,48.38506141756314,photos_rgb\2025-04-07_15-11-00_rgb.jpg,89.97279445973234,88.98854282150776,68.19035395904703,98.22179122223088,167.89061778197342,57.03919177430799,97.18671550594311,31.566514888526985
2025-04-07_15-12-00,37894.296875,315.785807291666,photos_nir\2025-04-07_15-12-00_nir.jpg,26.72236209658961,45.71663996337835,photos_rgb\2025-04-07_15-12-00_rgb.jpg,89.84046600312797,88.85595687658378,72.16121819202222,96.88523727032077,168.50985487711512,57.077681521035636,97.64753029949134,32.1973677941065
2025-04-07_15-13-00,37734.375,314.453125,photos_nir\2025-04-07_15-13-00_nir.jpg,26.1589227130541,45.40192263675898,photos_rgb\2025-04-07_15-13-00_rgb.jpg,89.77027822596611,88.78594158318815,72.74811398642687,96.76037165537736,168.2460184878802,57.030944967814925,97.72000634213121,32.156089793917104
